	X   Y

1	10  8.04

2   	8   6.95

3   	13  7.58

4   	9   8.81

5   	11  8.33

6   	14  9.96

7   	6   7.24

8   	4   4.26

9   	12  10.84

10  	7   4.82

11  	5   5.68

12  	10  9.14

13  	8   8.14

14  	13  8.74

15  	9   8.77

16  	11  9.26

17  	14  8.1

18  	6   6.13

19  	4   3.1

20  	12  9.13

21  	7   7.26

22  	5  4.74

23  	10  7.46

24  	8   6.77

25  	13  12.74

26  	9   7.11

27  	11  7.81

28  	14  8.84

29  	6   6.08

30  	4   5.39

31  	12  8.15

32  	7   6.42

33  	5   5.73

34  	8   6.58

35  	8   5.76

36  	8   7.71

37  	8   8.84

38  	8   8.47

39  	8   7.04

40  	8   5.25

41  	19  12.5

42  	8   5.56

43  	8   7.91

44  	8   6.89
